x,y,layer1,layer2,voltage1,voltage2,current
1544.98,401.916,GND,POWER,0.0106065,0.0106176,-0.00521153
1544.98,401.916,POWER,BOTTOM_LAYER,0.0106176,0.0106184,-0.00521153
1544.98,874.357,TOP_LAYER,GND,0.0101546,0.0101553,-0.00503532
1544.98,874.357,GND,POWER,0.0101553,0.0101887,-0.0156871
1544.98,874.357,POWER,BOTTOM_LAYER,0.0101887,0.010191,-0.0156871
1584.35,165.695,TOP_LAYER,GND,0.0106906,0.0106904,0.00107961
1584.35,165.695,GND,POWER,0.0106904,0.0106904,-8.45551e-06
1584.35,165.695,POWER,BOTTOM_LAYER,0.0106904,0.0106904,-8.45551e-06
1584.35,323.175,TOP_LAYER,GND,0.0106444,0.0106444,-0.000518821
1584.35,323.175,GND,POWER,0.0106444,0.01065,-0.0025843
1584.35,323.175,POWER,BOTTOM_LAYER,0.01065,0.0106503,-0.0025843
1584.35,480.656,TOP_LAYER,GND,0.010588,0.0105823,0.0393667
1584.35,480.656,GND,POWER,0.0105823,0.0106021,-0.00928033
1584.35,480.656,POWER,BOTTOM_LAYER,0.0106021,0.0106034,-0.00928033
1604.86,1143.17,TOP_LAYER,GND,0.00985047,0.00984776,0.0186125
1604.86,1143.17,GND,POWER,0.00984776,0.00984776,1.54568e-14
1604.86,1143.17,POWER,BOTTOM_LAYER,0.00984776,0.00984776,1.18962e-14
1623.72,86.9548,TOP_LAYER,GND,0.0107263,0.0107261,0.00113294
1623.72,86.9548,GND,POWER,0.0107261,0.0107237,0.00113167
1623.72,86.9548,POWER,BOTTOM_LAYER,0.0107237,0.0107235,0.00113167
1623.72,244.435,TOP_LAYER,GND,0.0106859,0.0106863,-0.00309997
1623.72,244.435,GND,POWER,0.0106863,0.01069,-0.00173723
1623.72,244.435,POWER,BOTTOM_LAYER,0.01069,0.0106903,-0.00173723
1623.72,401.916,TOP_LAYER,GND,0.0106244,0.010624,0.00269158
1623.72,401.916,GND,POWER,0.010624,0.0106317,-0.00360824
1623.72,401.916,POWER,BOTTOM_LAYER,0.0106317,0.0106322,-0.00360824
1623.72,874.357,TOP_LAYER,GND,0.0101326,0.0101331,-0.00300185
1623.72,874.357,GND,POWER,0.0101331,0.0101796,-0.0217897
1623.72,874.357,POWER,BOTTOM_LAYER,0.0101796,0.0101827,-0.0217897
1663.09,323.175,TOP_LAYER,GND,0.0106658,0.0106681,-0.0156298
1663.09,323.175,GND,POWER,0.0106681,0.0106773,-0.00432544
1663.09,323.175,POWER,BOTTOM_LAYER,0.0106773,0.0106779,-0.00432544
1663.09,480.656,TOP_LAYER,GND,0.0105988,0.0105921,0.0456534
1663.09,480.656,GND,POWER,0.0105921,0.0105942,-0.000960548
1663.09,480.656,POWER,BOTTOM_LAYER,0.0105942,0.0105943,-0.000960548
1702.46,244.435,TOP_LAYER,GND,0.0107186,0.0107224,-0.0263069
1702.46,244.435,GND,POWER,0.0107224,0.0107304,-0.00376963
1702.46,244.435,POWER,BOTTOM_LAYER,0.0107304,0.010731,-0.00376963
1702.46,401.916,TOP_LAYER,GND,0.0106385,0.0106403,-0.0120486
1702.46,401.916,GND,POWER,0.0106403,0.0106493,-0.00423133
1702.46,401.916,POWER,BOTTOM_LAYER,0.0106493,0.0106499,-0.00423133
1702.46,559.396,TOP_LAYER,GND,0.0104949,0.0104949,-1.18962e-14
1702.46,559.396,GND,POWER,0.0104949,0.0105153,-0.00954862
1702.46,559.396,POWER,BOTTOM_LAYER,0.0105153,0.0105167,-0.00954862
